pairid,argid,propid_to,propid_from,text_to,text_from,relation,causal_3_cause,causal_3_obstruct,causal_3_else
00726_3#00726_3_6,00726,00726_3,00726_3_6,The US government should fund embryonic stem cell research.,"Some supporters of research ask, if destroying an embryo is ""murder"" then why isn""t it outlawed - that it is highly unlikely that it will be outlawed and that the private funding of the destruction of embryos for research continues unabated may undermine the argument that it is ""murder"":",1,0.003978508058935404,5.361904186429456e-05,0.9959678649902344
00452_6#00452_6_19,00452,00452_6,00452_6_19,This House believes that downloading music and films from the Internet should be prohibited.,"According to ""The Effect of File Sharing on Record Sales"" by Felix Oberholzer-Gee (Harvard professor) and Koleman Strumpf, p2p services could actually work as marketing tools for the music industry.",-1,0.0001168474045698531,0.00027779946685768664,0.9996053576469421
00145_5#00145_5_22,00145,00145_5,00145_5_22,Unregulated distribution of copyrighted works over Internet should be allowed.,"According to ""The Effect of File Sharing on Record Sales"" by Felix Oberholzer-Gee (Harvard professor) and Koleman Strumpf, p2p services could actually work as marketing tools for the music industry.",1,0.0005320953205227852,0.0009024276514537632,0.9985654950141907
00800_5#00800_5_9,00800,00800_5,00800_5_9,The US federal government should increase the minimum wage.,Some argue it will decrease the quality of human capitol over time by discouraging people to remain in school or return for a higher education because these people might find that they can earn enough without the extra cost (in time and money) of schooling.,-1,0.023785099387168884,3.909182851202786e-05,0.976175844669342
00211_5#00211_5_2,00211,00211_5,00211_5_2,The US federal government should increase the minimum wage.,Some argue it will decrease the quality of human capitol over time by discouraging people to remain in school or return for a higher education because these people might find that they can earn enough without the extra cost (in time and money) of schooling.,-1,0.023785099387168884,3.909182851202786e-05,0.976175844669342
00800_7#00800_7_52,00800,00800_7,00800_7_52,The US federal government should increase the minimum wage.,"Argument that low-wage job-seekers lack negotiating power and knowledge of their own worth, that any negotiated wage may not reflect the real market value of labor, and that raising the minimum wage would solve this problem for minimum wage workers:",1,0.9998179078102112,2.252826379844919e-05,0.00015956288552843034
00211_7#00211_7_50,00211,00211_7,00211_7_50,The US federal government should increase the minimum wage.,"Argument that low-wage job-seekers lack negotiating power and knowledge of their own worth, that any negotiated wage may not reflect the real market value of labor, and that raising the minimum wage would solve this problem for minimum wage workers:",1,0.9998179078102112,2.252826379844919e-05,0.00015956288552843034
00889_20#00889_20_2,00889,00889_20,00889_20_2,Tibet should seek and gain independence.,"Tibet has been autonomous within China but never independent""Tibet: Chinas policy paper on Tibet"". Information Office of the State Council of the Peoples Republic of China. May 2004- ""I. The Establishment and Development of Regional Ethnic Autonomy in Tibet",-1,0.9573485851287842,7.48469028621912e-05,0.04257654771208763
00726_6#00726_6_7,00726,00726_6,00726_6_7,The US government should fund embryonic stem cell research.,"Because adult stem cells are already in clinical use, they may be more practical than embryonic stem cells to move forward with:World of Stem Cells ""Advantages and Disadvantages of Adult Stem Cells over Embryonic Stem Cells""",-1,0.8452058434486389,0.00014923328126315027,0.15464496612548828
00800_1#00800_1_6,00800,00800_1,00800_1_6,The US federal government should increase the minimum wage.,"Claim that raising the minimum wage would also force employers to raise the wages of employees that were well above the minimum wage (""wage creep""):According to a NYTimes Op-ed 1/3/06",-1,0.9940881729125977,5.7663582992972806e-05,0.005854120012372732
00211_1#00211_1_13,00211,00211_1,00211_1_13,The US federal government should increase the minimum wage.,"Claim that raising the minimum wage would also force employers to raise the wages of employees that were well above the minimum wage (""wage creep""):According to a NYTimes Op-ed 1/3/06",-1,0.9940881729125977,5.7663582992972806e-05,0.005854120012372732
00726_3#00726_3_3,00726,00726_3,00726_3_3,The US government should fund embryonic stem cell research.,"Human ""life"" begins at ""conception"", when a sperm fertilizes an egg cell, making the destruction of an embryo at any point beyond ""conception""  the destruction of ""human life"":",-1,0.018246391788125038,0.00021552697580773383,0.9815380573272705
00449_5#00449_5_3,00449,00449_5,00449_5_3,"It is ethical for colleges, parents, or employers to get information about people from social networking websites.","Privacy is a very important element of the social contract, and helps foster individuality and free expression, but is undermined by the extent of access of these groups.",-1,0.04970136657357216,4.233736763126217e-05,0.9502562880516052
00164_9#00164_9_3,00164,00164_9,00164_9_3,Gay couples should be given the same legal rights as heterosexuals in adopting children.,"There is no scientific basis for concluding that gay and lesbian parents are any less fit or capable than heterosexual parents, or that their children are any less psychologically healthy and well adjusted.",1,0.009225008077919483,0.00015065881598275155,0.9906243681907654
00108_3#00108_3_3,00108,00108_3,00108_3_3,The present international ban on trading elephant ivory should be lifted.,"The 1999 relaxation of CITES controls coincided with a fivefold upsurge in poaching in Kenya and a similar increase in India, as criminals assumed that legal sales would soon be allowed once again.",-1,0.9665594696998596,4.1487986891297624e-05,0.033399082720279694
00250_3#00250_3_1,00250,00250_3,00250_3_1,The present international ban on trading elephant ivory should be lifted.,"The 1999 relaxation of CITES controls coincided with a fivefold upsurge in poaching in Kenya and a similar increase in India, as criminals assumed that legal sales would soon be allowed once again.",-1,0.9665594696998596,4.1487986891297624e-05,0.033399082720279694
00964_5#00964_5_1,00964,00964_5,00964_5_1,It is right for Governments to restrict freedom of speech.,"Irrespective of its US provenance, we recognise that ""the most stringent protection of free speech would not protect a man in falsely shouting fire in a theatre and causing a panic.""",1,0.7089501023292542,7.859629113227129e-05,0.2909712791442871
00670_5#00670_5_1,00670,00670_5,00670_5_1,It is right for Governments to restrict freedom of speech.,"Irrespective of its US provenance, we recognise that ""the most stringent protection of free speech would not protect a man in falsely shouting fire in a theatre and causing a panic.""",1,0.7089501023292542,7.859629113227129e-05,0.2909712791442871
00090_8#00090_8_37,00090,00090_8,00090_8_37,Society should ban or restrict the sale and use of violent video games.,"Counter-argument to...""Myth 11. If violent video games cause increases in aggression, violent crime rates in the U.S. would be increasing instead of decreasing.",1,0.9991101622581482,2.108263834088575e-05,0.0008686853689141572
00874_8#00874_8_35,00874,00874_8,00874_8_35,Society should ban or restrict the sale and use of violent video games.,"Counter-argument to...""Myth 11. If violent video games cause increases in aggression, violent crime rates in the U.S. would be increasing instead of decreasing.",1,0.9991101622581482,2.108263834088575e-05,0.0008686853689141572
00800_7#00800_7_15,00800,00800_7,00800_7_15,The US federal government should increase the minimum wage.,Contention that a minimum wage increase is due in historical perspective; that it had been too long since a minimum wage increase and that the purchasing power of the minimum wage level is at an historic low:,1,0.9998700618743896,3.2681444281479344e-05,9.730579040478915e-05
00211_7#00211_7_1,00211,00211_7,00211_7_1,The US federal government should increase the minimum wage.,Contention that a minimum wage increase is due in historical perspective; that it had been too long since a minimum wage increase and that the purchasing power of the minimum wage level is at an historic low:,1,0.9998700618743896,3.2681444281479344e-05,9.730579040478915e-05
00090_8#00090_8_16,00090,00090_8,00090_8_16,Society should ban or restrict the sale and use of violent video games.,"Williams (U of Illinois) and Marko Skoric (University in Singapore), ""Internet Fantasy Violence: A Test of Aggression in an Online Game, Communication Monographs, 2005",-1,0.9955894947052002,0.00025918884784914553,0.0041513643227517605
00800_1#00800_1_1,00800,00800_1,00800_1_1,The US federal government should increase the minimum wage.,"Contention that a minimum wage increase is an ""income transfer"" that ""places the entire burden on one small group the employers of low-wage workers and, to some extent, their customers.""",-1,0.9998824596405029,3.337427551741712e-05,8.410399459535256e-05
00211_1#00211_1_2,00211,00211_1,00211_1_2,The US federal government should increase the minimum wage.,"Contention that a minimum wage increase is an ""income transfer"" that ""places the entire burden on one small group the employers of low-wage workers and, to some extent, their customers.""",-1,0.9998824596405029,3.337427551741712e-05,8.410399459535256e-05
00550_6#00550_6_3,00550,00550_6,00550_6_3,Partial-birth abortion should be banned.,"Other common logistical and/or personal reasons might exist that make a first trimester abortion infeasible, and which may provide a sufficient circumstance for a woman to seek a late, partial birth abortion.",-1,0.017745522782206535,0.00018680495850276202,0.9820677042007446
00800_5#00800_5_2,00800,00800_5,00800_5_2,The US federal government should increase the minimum wage.,"A minimum wage increase ""stimulates consumption, and thus economic growth, by placing more money in the hands of poor people who spend much, if not all, of their paychecks.""",1,0.9859939813613892,9.278814104618505e-05,0.013913285918533802
00549_5#00549_5_2,00549,00549_5,00549_5_2,The United Kingdom should hand over the Falkland Islands to Argentina.,"Argentinas inheritance claim is self righteous as there was no binding universal international law at that time, meaning no rights for inheriting land they did not control during their unilateral independence",-1,0.0032304348424077034,0.0004156303475610912,0.9963539838790894
00211_5#00211_5_8,00211,00211_5,00211_5_8,The US federal government should increase the minimum wage.,"A minimum wage increase ""stimulates consumption, and thus economic growth, by placing more money in the hands of poor people who spend much, if not all, of their paychecks.""",1,0.9859939813613892,9.278814104618505e-05,0.013913285918533802
00874_8#00874_8_19,00874,00874_8,00874_8_19,Society should ban or restrict the sale and use of violent video games.,"Williams (U of Illinois) and Marko Skoric (University in Singapore), ""Internet Fantasy Violence: A Test of Aggression in an Online Game, Communication Monographs, 2005",-1,0.9955894947052002,0.00025918884784914553,0.0041513643227517605
00164_9#00164_9_5,00164,00164_9,00164_9_5,Gay couples should be given the same legal rights as heterosexuals in adopting children.,The American Academy of Pediatrics and all of the major professional organizations with expertise in child welfare have issued reports and resolutions in support of gay and lesbian parental rights.,1,0.20750780403614044,0.0001662293798290193,0.7923259139060974
00164_9#00164_9_9,00164,00164_9,00164_9_9,Gay couples should be given the same legal rights as heterosexuals in adopting children.,Lesbian and gay parents are every bit as fit and capable as heterosexual parents and their children are as psychologically healthy and well-adjusted as children reared by heterosexual parents,1,0.16093285381793976,9.074429544853047e-05,0.8389763832092285
00550_6#00550_6_7,00550,00550_6,00550_6_7,Partial-birth abortion should be banned.,"""Slippery-slope"" argument that ""once ""fetal rights"" are granted to one stage of the pregnancy, nothing will prevent their extension to all stages"", which is argued as going too far.",-1,0.9991188645362854,1.528156099084299e-05,0.000865868350956589
00412_1#00412_1_4,00412,00412_1,00412_1_4,"Limits or regulations should be placed on how candidates raise funds, and/or spend them, during political campaigns.","Even under the most radical proposals for reform, loopholes exist that enable candidates to spend more or reach their audiences through alternative means.",-1,0.0009311576723121107,2.1842455680598505e-05,0.9990469813346863
00152_3#00152_3_1,00152,00152_3,00152_3_1,Marijuana possession should be decriminalized and made into a civil offense.,"Increased crime The Drug Enforcement Administration (DEA) has claimed that marijuana leads to increased crime in the un-sourced pamphlet entitled ""Speaking Out Against Drug Legalization.""",-1,0.978264570236206,0.0002341168437851593,0.02150128409266472
00449_3#00449_3_10,00449,00449_3,00449_3_10,"It is ethical for colleges, parents, or employers to get information about people from social networking websites.","Companies have Facebook profiles that benefit job-seekers, making the trade-off acceptable for employers to seek information about candidates on these sites.",1,0.11838343739509583,6.44567480776459e-05,0.8815521597862244
00726_3#00726_3_7,00726,00726_3,00726_3_7,The US government should fund embryonic stem cell research.,"Jonathan Sarfati writes that in ""Senators use Bible for lessons on life in stem cell debate"", The Greenville News, 7/19/01 Zitmer, A.",1,0.9856618046760559,0.00045166557538323104,0.013886550441384315
00090_8#00090_8_5,00090,00090_8,00090_8_5,Society should ban or restrict the sale and use of violent video games.,"""Actually, violent games act more as a type of catharsis, allowing people with aggressive feelings to vent them in the game rather than in real life.""",-1,0.43838730454444885,0.0006776102818548679,0.5609351396560669
00034_6#00034_6_1,00034,00034_6,00034_6_1,Governments should legalise all drugs.,In the short term it might eliminate drug dealers on our streets but do any of us really think that whatever multinational corporation ends of cornering the drug market will have a problem trading with the existing cartels,-1,0.002400351455435157,0.0005134466919116676,0.997086226940155
00726_5#00726_5_3,00726,00726_5,00726_5_3,The US government should fund embryonic stem cell research.,"The vast majority of the 400,000 frozen embryos in the United States will either be stored indefinitely or destroyed at some point - thus they should be used for stem cell research:",1,0.025250565260648727,6.0047026636311784e-05,0.9746893048286438
01234_1#01234_1_1,01234,01234_1,01234_1_1,This House believes that hate speech should be a crime.,"Even such things as computer games, cartoons and so on, if they contain offensive remarks against other groups, may lead hot only to conflicts within the country, but to international ones.",1,0.0001848245010478422,0.00011656113201752305,0.9996986389160156
00874_8#00874_8_13,00874,00874_8,00874_8_13,Society should ban or restrict the sale and use of violent video games.,"""Actually, violent games act more as a type of catharsis, allowing people with aggressive feelings to vent them in the game rather than in real life.""",-1,0.43838730454444885,0.0006776102818548679,0.5609351396560669
00726_6#00726_6_1,00726,00726_6,00726_6_1,The US government should fund embryonic stem cell research.,"Adult stem cells have a capacity to ""dedifferentiate"" and then become a wide range of tissues, similar to the wide ranging possibilities of embryonic stem cells:",-1,0.8467947840690613,0.00015502222231589258,0.15305013954639435
00090_8#00090_8_18,00090,00090_8,00090_8_18,Society should ban or restrict the sale and use of violent video games.,Claim that testimonies of criminals that place blame on video games should not be relied upon as the criminals may simply be looking for a deflective excuse:,-1,0.9996951818466187,1.7519789253128693e-05,0.0002873384510166943
00909_2#00909_2_2,00909,00909_2,00909_2_2,Doctors should be allowed to prescribe contraception for girls under the age of 16.,"To presume that girls, or young people in general will be prevented from experimenting with sex if they are denied contraception is ludicrous:",1,6.159111217129976e-05,3.2800227927509695e-05,0.9999055862426758
00800_1#00800_1_5,00800,00800_1,00800_1_5,The US federal government should increase the minimum wage.,Oregon Study concludes that its employers (particularly in agriculture and restaurant industries) have fared very well and are hiring despite having one of the highest (and inflation indexed) minimum wages:,1,0.996269941329956,6.724955892423168e-05,0.0036627904046326876
00211_1#00211_1_11,00211,00211_1,00211_1_11,The US federal government should increase the minimum wage.,Oregon Study concludes that its employers (particularly in agriculture and restaurant industries) have fared very well and are hiring despite having one of the highest (and inflation indexed) minimum wages:,1,0.996269941329956,6.724955892423168e-05,0.0036627904046326876
00447_8#00447_8_7,00447,00447_8,00447_8_7,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" punishes citizens coming-out of closet]",1,0.0009168583783321083,1.1316426935081836e-05,0.9990718364715576
00149_5#00149_5_1,00149,00149_5,00149_5_1,There should be a legally mandated ceiling on weekly working hours.,"Unless competing economies implement similar rules, any restrictions on economic production may simply encourage the relocation of that production to an economy that is not encumbered with the same rules.",-1,0.00018079801520798355,0.0003544376522768289,0.9994648098945618
00909_3#00909_3_3,00909,00909_3,00909_3_3,Doctors should be allowed to prescribe contraception for girls under the age of 16.,"""Children"" should not be expected to abruptly change their attitudes and behaviour toward sex and contraception-use at the turn of their 16th birthday.",1,9.230006980942562e-05,9.01936728041619e-05,0.9998175501823425
00874_8#00874_8_15,00874,00874_8,00874_8_15,Society should ban or restrict the sale and use of violent video games.,Claim that testimonies of criminals that place blame on video games should not be relied upon as the criminals may simply be looking for a deflective excuse:,-1,0.9996951818466187,1.7519789253128693e-05,0.0002873384510166943
00452_6#00452_6_17,00452,00452_6,00452_6_17,This House believes that downloading music and films from the Internet should be prohibited.,The only artists making money off record royalties (receiving money from every copy sold) are the extremely popular ones that already have a lot of money anyway,-1,0.0005878889933228493,0.0002776620094664395,0.9991344809532166
00090_8#00090_8_13,00090,00090_8,00090_8_13,Society should ban or restrict the sale and use of violent video games.,"Argument that during the period in which violent gameplay among youth has increased, youth crime rates have fallen, weakening the causal link between violent game play and violence:",-1,0.9998656511306763,2.7726682674256153e-05,0.00010653617937350646
00090_8#00090_8_9,00090,00090_8,00090_8_9,Society should ban or restrict the sale and use of violent video games.,Claim that the effects of violence and crime-based video games are even worse than similar films and TV because of the interactive element that exists in video games.,1,0.9998898506164551,2.7261736249784008e-05,8.280132169602439e-05
00447_3#00447_3_9,00447,00447_3,00447_3_9,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" undermines troop morale and unit cohesion",1,0.0003455971600487828,1.5198786968539935e-05,0.9996391534805298
00741_2#00741_2_2,00741,00741_2,00741_2_2,Unemployed people should be made to work for their welfare money.,"Putting the unemployed into workfare schemes actually limits their opportunities to look for work, by making them show up for make-work schemes when they could be job hunting:",-1,0.13213880360126495,0.11917233467102051,0.7486888766288757
00447_8#00447_8_9,00447,00447_8,00447_8_9,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" forbids homosexual acts, not gays",-1,0.000651941925752908,1.8718550563789904e-05,0.9993293285369873
00599_2#00599_2_3,00599,00599_2,00599_2_3,Scotland should become an independent nation.,"Some sources argue that it may no longer be very valuable in todays Europe to maintain ""economies of scale"" in larger unions for the sake of pooling resources for funding a stronger military.",1,0.006720251403748989,0.0003991439298260957,0.9928805828094482
01106_2#01106_2_2,01106,01106_2,01106_2_2,Scotland should become an independent nation.,"Some sources argue that it may no longer be very valuable in todays Europe to maintain ""economies of scale"" in larger unions for the sake of pooling resources for funding a stronger military.",1,0.006720251403748989,0.0003991439298260957,0.9928805828094482
00301_5#00301_5_5,00301,00301_5,00301_5_5,The state should be fully privatised.,"Some would also point out that privatizing certain functions of government might hamper coordination, and charge firms with specialized and limited capabilities to perform functions which they are not suited for.",-1,0.0010677323443815112,0.000986623577773571,0.9979457259178162
